Experiment,SubNum,Include,rt_0.0,rt_0.1,rt_0.2,rt_0.3,rt_0.4,rt_0.5,rt_0.6,rt_0.7,rt_0.8,rt_0.9,rt_1.0,response_mean_0.0,response_mean_0.1,response_mean_0.2,response_mean_0.3,response_mean_0.4,response_mean_0.5,response_mean_0.6,response_mean_0.7,response_mean_0.8,response_mean_0.9,response_mean_1.0,difference_mean_0.0,difference_mean_0.1,difference_mean_0.2,difference_mean_0.3,difference_mean_0.4,difference_mean_0.5,difference_mean_0.6,difference_mean_0.7,difference_mean_0.8,difference_mean_0.9,difference_mean_1.0,response_std_0.0,response_std_0.1,response_std_0.2,response_std_0.3,response_std_0.4,response_std_0.5,response_std_0.6,response_std_0.7,response_std_0.8,response_std_0.9,response_std_1.0,response_median_0.0,response_median_0.1,response_median_0.2,response_median_0.3,response_median_0.4,response_median_0.5,response_median_0.6,response_median_0.7,response_median_0.8,response_median_0.9,response_median_1.0,difference_median_0.0,difference_median_0.1,difference_median_0.2,difference_median_0.3,difference_median_0.4,difference_median_0.5,difference_median_0.6,difference_median_0.7,difference_median_0.8,difference_median_0.9,difference_median_1.0,response_mad_0.0,response_mad_0.1,response_mad_0.2,response_mad_0.3,response_mad_0.4,response_mad_0.5,response_mad_0.6,response_mad_0.7,response_mad_0.8,response_mad_0.9,response_mad_1.0,key_press_p1_x_0.0,key_press_p1_x_0.1,key_press_p1_x_0.2,key_press_p1_x_0.3,key_press_p1_x_0.4,key_press_p1_x_0.5,key_press_p1_x_0.6,key_press_p1_x_0.7,key_press_p1_x_0.8,key_press_p1_x_0.9,key_press_p1_x_1.0,key_press_p1_y_0.0,key_press_p1_y_0.1,key_press_p1_y_0.2,key_press_p1_y_0.3,key_press_p1_y_0.4,key_press_p1_y_0.5,key_press_p1_y_0.6,key_press_p1_y_0.7,key_press_p1_y_0.8,key_press_p1_y_0.9,key_press_p1_y_1.0,correlation_x_0.0,correlation_x_0.1,correlation_x_0.2,correlation_x_0.3,correlation_x_0.4,correlation_x_0.5,correlation_x_0.6,correlation_x_0.7,correlation_x_0.8,correlation_x_0.9,correlation_x_1.0,correlation_y_0.0,correlation_y_0.1,correlation_y_0.2,correlation_y_0.3,correlation_y_0.4,correlation_y_0.5,correlation_y_0.6,correlation_y_0.7,correlation_y_0.8,correlation_y_0.9,correlation_y_1.0,Sim_x_mean,Sim_x_std,Sim_x_min,Sim_x_max,Sim_y_mean,Sim_y_std,Sim_y_min,Sim_y_max,,,,,,,,,,,
1,2,1,3691.6,5704.4,5328,5864,7614,7914.4,4514.4,5542.6,3659.2,3594.6,3673,0,16.2,9.2,32.8,38.6,68.2,84.4,84.4,96.2,100,100,0,6.2,-10.8,2.8,-1.4,18.2,24.4,14.4,16.2,10,0,0,18.03330253,13.73681186,29.55841674,21.10213259,22.77498628,6.730527468,11.45862121,7.429670248,0,0,0,8,5,35,39,79,87,85,100,100,100,0,-2,-15,5,-1,29,27,15,20,10,0,0,15.44,9.52,20.64,14.48,17.36,4.72,8.72,5.28,0,0,24.8,27.6,23.8,15.6,25,17.2,16,14,24.2,19.2,17.8,15.6,13,11,12.4,8.8,19.8,14,13.6,18,17.8,15.6,-0.157397644,-0.130878569,-0.109227091,0.057516408,0.131429631,0.112794995,-0.066984321,-0.090460525,-0.101273726,-0.019991098,0.132498629,0.090707838,0.086178026,-0.014550244,0.016642344,0.092228961,-0.097125915,0.152058101,-0.109758081,0.026341354,0.005282731,0.077831305,6.818181818,2.186582901,2,10,6.727272727,1.880253583,2,11,,,,,,,,,,,
1,3,1,3030.8,2960.8,2963.6,3150,3225.2,3623.6,3401.8,3399.6,3338.2,3445.8,3781.8,9,8.8,15.2,32.4,23.4,38.4,45,54.6,59,68.8,100,9,-1.2,-4.8,2.4,-16.6,-11.6,-15,-15.4,-21,-21.2,0,7.968688725,9.311283478,12.55786606,10.76104084,16.72722332,12.15730233,13.37908816,18.02220852,21.10687092,13.31164903,0,7,4,20,33,21,37,46,59,58,69,100,7,-6,0,3,-19,-13,-14,-11,-22,-21,0,6,7.76,10.56,7.12,12.48,7.68,9.6,12.64,16.4,10.24,0,9.6,10,8,4.6,6.4,7.4,6.8,5.6,4.6,5.2,4.4,9.2,13.8,9.8,10.6,6.6,6.2,6.6,6,7.8,5.6,6.2,-0.064248152,0.133293155,-0.032302968,0.325313617,0.031177073,-0.099553078,0.012894978,-0.153642545,-0.063428879,-0.059218934,0.059299655,0.205155143,0.079989332,0.229936995,0.279358446,0.241484058,0.091366738,0.106534928,-0.02186759,0.106025225,0.262552203,-0.068913806,6.6,1.695309433,3,11,6.836363636,1.802915708,2,11,,,,,,,,,,,
1,4,1,3206,3375.2,4026.2,4230.2,3487.6,3614.2,2882.2,3043.6,2741.4,3115.4,2928.2,2.6,2.2,25.4,29.2,23.2,32.8,46.6,65.8,100,100,98,2.6,-7.8,5.4,-0.8,-16.8,-17.2,-13.4,-4.2,20,10,-2,3.714835124,3.492849839,30.9644958,31.79937106,35.71694276,17.07922715,26.56689669,22.78596059,0,0,4.472135955,0,0,9,12,2,34,58,55,100,100,100,0,-10,-11,-18,-38,-16,-2,-15,20,10,0,3.12,2.64,26.88,27.04,26.64,13.84,18.64,18.56,0,0,3.2,25.4,23.2,20.8,18.4,13.4,15.8,10.8,13.2,6.6,19.6,13.6,22.4,27.6,22.8,27.6,33.4,23.2,35,28,28.4,20.2,18.2,-0.005405173,0.069494517,0.015158587,0.105690244,-0.113451854,-0.00063538,0.074437565,0.050751015,0.106384649,0.106209703,-0.055946657,-0.059318477,0.118815607,0.011960996,0.048581878,-0.035222531,0.070545535,-0.139410335,-0.067906985,0.025646959,-0.061961185,-0.023443117,6.927272727,1.834389044,2,11,7.072727273,1.698087655,4,11,,,,,,,,,,,
1,6,1,4541.6,5870,3449.8,2598,2896.6,3436.8,5083.8,3234.6,4243.8,3348.2,6502,24.6,11.6,40.8,28.4,24.4,39,66,64.8,60,79.6,75.2,24.6,1.6,20.8,-1.6,-15.6,-11,6,-5.2,-20,-10.4,-24.8,39.45630495,10.62073444,32.84356862,24.24458702,24.59268184,22.70462508,19.91230775,19.48589233,19.03943276,13.01153335,34.25930531,2,11,45,17,19,35,71,58,56,81,84,2,1,25,-13,-21,-15,11,-12,-24,-9,-16,28.32,7.12,26.64,19.28,17.04,16.4,16.4,16.56,14.8,8.88,23.36,12.2,20.4,15,18.6,23.8,21.8,36.6,39.4,36.4,39.2,34.8,10.4,13.2,11.2,7.8,22.8,20.6,30.4,34.4,31.6,35.8,33.8,-0.140777189,-0.123721335,-0.071508966,-0.065067404,0.011693805,-0.080641997,0.088070768,0.002869349,-0.068588794,-0.073575209,-0.066883945,0.049488174,0.081534281,-0.166476232,-0.266736164,-0.188134356,0.004145913,-0.127319166,-0.036351367,0.00021081,-0.01618186,-0.057401945,6.272727273,1.483920551,4,10,6.709090909,1.4741316,2,10,,,,,,,,,,,
1,7,1,4337.8,5188.6,5567,4685.4,5514,4383.6,6797,4572.2,4752.4,5342,5458.2,1.2,0.8,1.2,18.2,10.4,37.6,34.4,51,56,77.8,99.8,1.2,-9.2,-18.8,-11.8,-29.6,-12.4,-25.6,-19,-24,-12.2,-0.2,2.683281573,1.788854382,1.303840481,19.7787765,5.412947441,16.04057356,8.203657721,20.09975124,24.32077301,35.4781623,0.447213595,0,0,1,9,9,42,31,48,64,89,100,0,-10,-19,-21,-31,-8,-29,-22,-16,-1,0,1.92,1.28,1.04,15.04,4.48,12.48,6.88,14,17.2,25.12,0.32,17.6,13.8,10.8,8.8,9.4,6,6.6,6.6,8.2,8.2,8.6,13.4,8,15.6,10.6,7.4,6.8,6,7.4,9.4,10,9.2,0.014973544,-0.06964403,-0.035697146,0.026122672,-0.079606566,0.268030444,-0.08928043,0.049558523,0.340336508,-0.063466669,0.042274503,-0.023118882,0.01297508,0.123544674,0.019972827,0.062730596,0.061339303,0.323168153,-0.046026207,-0.148572201,-0.019913261,0.177800636,6.745454545,1.624102964,2,10,6.345454545,1.702048676,2,10,,,,,,,,,,,
1,8,1,2680.8,3314,3103,3659.8,3065.8,4340.8,2860.2,4315.8,3117.6,3199.4,3304,9,19,22.4,43,50.2,63,69.4,72.2,76.4,78.8,94.6,9,9,2.4,13,10.2,13,9.4,2.2,-3.6,-11.2,-5.4,4.301162634,9.273618495,7.893034904,20.11218536,21.85634919,15.45962483,8.734987121,13.98928161,8.988882022,8.700574694,8.706319544,10,17,24,35,36,67,67,79,79,81,100,10,7,4,5,-4,17,7,9,-1,-9,0,3.6,7.2,5.92,17.2,19.04,10.8,7.28,10.96,7.52,5.92,6.48,14.6,11.4,7.4,9.8,9.6,7.2,9.4,9.2,9.8,13.2,11.8,4.8,6.4,7.4,7,4.6,3.8,5.2,7.6,8.4,13.4,9.4,-0.078371848,0.04591655,0.105888961,0.077778835,-0.023272072,-0.008097758,0.17561443,-0.001279411,-0.124302159,-0.114363945,-0.178440321,-0.238937314,0.031105778,-0.088879296,-0.003768285,-0.04762078,-0.026726968,-0.197456627,-0.182234948,-0.01553903,0.002487259,-0.014502536,6.818181818,1.733022505,3,11,6.727272727,1.671709543,3,11,,,,,,,,,,,
1,9,1,2946.8,3719.6,3158,4251.4,2734.4,3631.4,5350.6,5738.6,3494.8,3272,3202.4,0,3,8,11.8,22.8,30.8,42.4,68.2,88.2,97.4,100,0,-7,-12,-18.2,-17.2,-19.2,-17.6,-1.8,8.2,7.4,0,0,4.636809248,5.385164807,2.588435821,20.94516651,17.8801566,20.00749859,9.934787366,7.293833012,1.341640786,0,0,1,8,12,12,28,41,70,90,98,100,0,-9,-12,-18,-28,-22,-19,0,10,8,0,0,3.2,4,1.84,14.56,14.16,14.48,7.76,5.76,1.12,0,24.4,24.6,23.4,20,22.8,22.6,19.4,17.4,15.4,13.8,20.2,34,26.8,26,27.2,23.6,21.4,28,21,22.8,22,25.4,-0.126007422,0.009090493,-0.063992977,0.019809153,-0.082902195,-0.126309766,-0.251402071,0.01918324,0.198856756,-0.125423724,0.108151716,-0.155570104,-0.092232619,-0.071637761,-0.171525706,-0.131454295,-0.210978182,-0.042575502,-0.058035482,-0.073618271,-0.042747423,-0.104540765,7.236363636,1.710140089,4,12,7.418181818,1.62948423,4,11,,,,,,,,,,,
1,10,1,2842.6,2810.4,3172.2,3097.4,3801.2,2601.6,4669.8,4360,2169,3104.8,2424,7,20,20.4,24.6,35.8,52.4,64,81,89.4,93.4,100,7,10,0.4,-5.4,-4.2,2.4,4,11,9.4,3.4,0,12.12435565,12.509996,23.47977853,17.51570724,13.80941708,9.555103348,22.94558781,14.94991639,11.05893304,9.181503145,0,0,21,17,22,39,50,58,87,93,97,100,0,11,-3,-8,-1,0,-2,17,13,7,0,8.4,8.8,15.84,12.32,10.64,7.68,18.8,12.4,7.76,6.56,0,6,6.6,5.2,10.2,4.6,4,6.8,8.2,6.4,9.4,6.8,11.6,12.2,8,8.4,8.4,6,9,9.6,8.2,11.2,8.2,-0.021313634,0.148833827,0.035430902,0.238802301,0.144645915,0.21026313,0.084720524,-0.112822397,0.112267197,-0.087393284,0.095897076,0.127645808,0.135957531,0.069853197,0.063208239,0.050063863,-0.058852872,0.077563958,0.2566324,-0.076848829,-0.003169697,-0.186564471,6.945454545,1.603447464,4,11,6.818181818,1.934969701,3,11,,,,,,,,,,,
1,11,1,3049.4,4077.4,3946,2986.4,3673,2600.6,4466,3904.8,3353.4,3547.4,3828.2,19.2,16.2,21.6,31.4,18,35.2,59.4,79.6,72.8,92.4,100,19.2,6.2,1.6,1.4,-22,-14.8,-0.6,9.6,-7.2,2.4,0,25.40078739,29.19246478,23.04994577,10.23718711,15.95305613,28.72629457,16.07171428,12.25969005,11.67047557,4.722287581,0,6,4,17,28,8,17,55,80,65,93,100,6,-6,-3,-2,-32,-33,-5,10,-15,3,0,20.64,20.72,17.92,8.08,13.6,25.04,12.88,9.68,10.16,3.12,0,8.8,5.8,5.8,7,6.4,6.6,8.6,8.2,7.2,8.2,8.2,10,5.4,5.4,6,4.8,5.6,8,7,6.4,7.4,8,0.02049017,0.108367836,0.193666833,-0.04213439,0.047792656,0.014086376,0.104711025,-0.107196275,0.176550004,-0.114832843,-0.030025243,-0.056589393,0.014278037,0.214840221,0.122178934,-0.027339628,0.04712528,0.135767575,0.151691355,-0.08387086,-0.173240254,0.224546537,6.836363636,1.536755075,3,10,7.054545455,1.556565329,4,11,,,,,,,,,,,
1,12,1,4178.4,3424,3865.8,3434.8,5398.4,3753.8,4087.8,2936.4,3396.8,4301.2,3454.8,18.6,21.8,24.2,31,25.6,48.6,37.6,69.4,50.2,81,91.8,18.6,11.8,4.2,1,-14.4,-1.4,-22.4,-0.6,-29.8,-9,-8.2,15.22497947,21.08791123,21.83346056,32.51153641,22.99565176,17.25688268,15.29051994,11.92895637,27.14221804,21.27204739,13.00769003,13,23,22,18,14,55,39,74,50,91,96,13,13,2,-12,-26,5,-21,4,-30,1,-4,12.32,17.04,17.84,26,17.12,14.08,12.48,9.92,19.44,18.4,9.12,14.2,10,11.6,14.4,9.6,14,8.8,28.2,14.6,15,32.2,10.2,15.6,8.4,17,13.8,16.8,10,21.2,11.6,18.8,17.6,0.036948736,-0.206814307,-0.1524295,0.167243832,0.218273967,-0.078196315,0.195122674,-0.05660327,0.081819393,0.092944979,-0.11029051,-0.143350116,0.142339898,0.051782771,-0.076578326,-0.027593697,0.193760122,0.065460542,-0.003353402,0.045843404,0.141322077,-0.087652354,7.345454545,1.786971179,4,13,7,2.02758751,3,11,,,,,,,,,,,
