Experiment,,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block,Confidence,RT_Confidence
1,3,1,0,3,46,html-slider-response,46,256016,6542,11,0,question_agency,question_agency_line,11,5,6,0,0,0,0,1,,
1,4,1,0,4,65,html-slider-response,65,359588,4938,66,0,question_agency,question_agency_line,66,7,7,0,0,0,0,2,,
1,0,1,0,0,105,html-slider-response,105,548011,2884,77,0,question_agency,question_agency_line,77,8,6,0,0,0,0,3,,
1,2,1,0,2,142,html-slider-response,142,966352,6501,31,0,question_agency,question_agency_line,31,9,8,0,0,0,0,4,,
1,1,1,0,1,182,html-slider-response,182,1525894,6670,49,0,question_agency,question_agency_line,49,5,8,0,0,0,0,5,,
1,8,1,0,8,49,html-slider-response,49,268181,3146,18,0.1,question_agency,question_agency_line,8,6,6,0,0,0,0,1,,
1,9,1,0,9,59,html-slider-response,59,331473,2655,70,0.1,question_agency,question_agency_line,60,7,5,0,0,0,0,2,,
1,7,1,0,7,114,html-slider-response,114,587676,6818,26,0.1,question_agency,question_agency_line,16,8,2,0,0,0,0,3,,
1,6,1,0,6,145,html-slider-response,145,982976,7613,50,0.1,question_agency,question_agency_line,40,12,9,0,0,0,0,4,,
1,5,1,0,5,167,html-slider-response,167,1424119,6875,50,0.1,question_agency,question_agency_line,40,7,8,0,0,0,0,5,,
1,14,1,0,14,40,html-slider-response,40,205744,5822,86,0.2,question_agency,question_agency_line,66,8,8,0,0,0,0,1,,
1,12,1,0,12,74,html-slider-response,74,400807,7527,73,0.2,question_agency,question_agency_line,53,4,8,0,0,0,0,2,,
1,11,1,0,11,111,html-slider-response,111,571849,2668,70,0.2,question_agency,question_agency_line,50,6,7,0,0,0,0,3,,
1,10,1,0,10,139,html-slider-response,139,950840,22304,13,0.2,question_agency,question_agency_line,-7,6,6,0,0,0,0,4,,
1,13,1,0,13,188,html-slider-response,188,1557659,10417,58,0.2,question_agency,question_agency_line,38,9,8,0,0,0,0,5,,
1,16,1,0,16,52,html-slider-response,52,279876,2684,61,0.3,question_agency,question_agency_line,31,6,5,0,0,0,0,1,,
1,18,1,0,18,83,html-slider-response,83,443674,4575,69,0.3,question_agency,question_agency_line,39,7,8,0,0,0,0,2,,
1,19,1,0,19,99,html-slider-response,99,524066,7775,72,0.3,question_agency,question_agency_line,42,6,7,0,0,0,0,3,,
1,17,1,0,17,124,html-slider-response,124,750552,3923,63,0.3,question_agency,question_agency_line,33,5,8,0,0,0,0,4,,
1,15,1,0,15,161,html-slider-response,161,1379356,2959,63,0.3,question_agency,question_agency_line,33,9,6,0,0,0,0,5,,
1,21,1,0,21,31,html-slider-response,31,166113,28798,44,0.4,question_agency,question_agency_line,4,6,9,0,0,0,0,1,,
1,20,1,0,20,56,html-slider-response,56,319808,2849,77,0.4,question_agency,question_agency_line,37,4,10,0,0,0,0,2,,
1,23,1,0,23,96,html-slider-response,96,507284,8427,75,0.4,question_agency,question_agency_line,35,9,6,0,0,0,0,3,,
1,24,1,0,24,127,html-slider-response,127,776525,16963,75,0.4,question_agency,question_agency_line,35,8,10,0,0,0,0,4,,
1,22,1,0,22,185,html-slider-response,185,1538233,3327,25,0.4,question_agency,question_agency_line,-15,8,8,0,0,0,0,5,,
1,26,1,0,26,25,html-slider-response,25,111904,10462,7,0.5,question_agency,question_agency_line,-43,4,5,0,0,0,0,1,,
1,27,1,0,27,68,html-slider-response,68,371437,2837,66,0.5,question_agency,question_agency_line,16,6,8,0,0,0,0,2,,
1,25,1,0,25,102,html-slider-response,102,536118,3042,32,0.5,question_agency,question_agency_line,-18,6,6,0,0,0,0,3,,
1,29,1,0,29,148,html-slider-response,148,1013001,21016,36,0.5,question_agency,question_agency_line,-14,5,5,0,0,0,0,4,,
1,28,1,0,28,158,html-slider-response,158,1367378,96255,57,0.5,question_agency,question_agency_line,7,6,3,0,0,0,0,5,,
1,30,1,0,30,34,html-slider-response,34,177979,2857,61,0.6,question_agency,question_agency_line,1,6,7,0,0,0,0,1,,
1,31,1,0,31,86,html-slider-response,86,456853,4172,45,0.6,question_agency,question_agency_line,-15,8,7,0,0,0,0,2,,
1,33,1,0,33,117,html-slider-response,117,601973,5287,42,0.6,question_agency,question_agency_line,-18,5,6,0,0,0,0,3,,
1,34,1,0,34,151,html-slider-response,151,1037802,15788,52,0.6,question_agency,question_agency_line,-8,7,4,0,0,0,0,4,,
1,32,1,0,32,173,html-slider-response,173,1465755,19125,46,0.6,question_agency,question_agency_line,-14,10,8,0,0,0,0,5,,
1,36,1,0,36,28,html-slider-response,28,128307,7393,16,0.7,question_agency,question_agency_line,-54,8,6,0,0,0,0,1,,
1,39,1,0,39,80,html-slider-response,80,430089,5325,72,0.7,question_agency,question_agency_line,2,9,8,0,0,0,0,2,,
1,37,1,0,37,90,html-slider-response,90,475566,4097,37,0.7,question_agency,question_agency_line,-33,8,3,0,0,0,0,3,,
1,38,1,0,38,133,html-slider-response,133,800208,2229,68,0.7,question_agency,question_agency_line,-2,6,2,0,0,0,0,4,,
1,35,1,0,35,170,html-slider-response,170,1437619,4490,49,0.7,question_agency,question_agency_line,-21,8,6,0,0,0,0,5,,
1,40,1,0,40,37,html-slider-response,37,190912,3923,26,0.8,question_agency,question_agency_line,-54,8,8,0,0,0,0,1,,
1,44,1,0,44,77,html-slider-response,77,415757,5940,71,0.8,question_agency,question_agency_line,-9,7,8,0,0,0,0,2,,
1,41,1,0,41,93,html-slider-response,93,489849,5274,58,0.8,question_agency,question_agency_line,-22,2,7,0,0,0,0,3,,
1,42,1,0,42,154,html-slider-response,154,1049586,2773,10,0.8,question_agency,question_agency_line,-70,6,8,0,0,0,0,4,,
1,43,1,0,43,176,html-slider-response,176,1497298,22532,50,0.8,question_agency,question_agency_line,-30,7,7,0,0,0,0,5,,
