,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
0,1,1,0,22,html-slider-response,22,126372,4153.0,8.0,0.0,question_agency,question_agency_line_inverted,8.0,10.0,7.0,10.0,16.0,-0.06072238190075458,-0.4253325668653431,1
1,1,1,1,62,html-slider-response,62,299644,4434.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,8.0,6.0,11.0,4.0,0.2848141319148493,-0.17864664834524308,2
4,1,1,4,117,html-slider-response,117,546749,4581.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,9.0,8.0,0.0,0.0,0.0,0.0,3
3,1,1,3,154,html-slider-response,154,725156,4233.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,9.0,8.0,7.0,3.0,0.2988489165446168,0.2139499720225767,4
2,1,1,2,167,html-slider-response,167,784857,6604.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,5.0,6.0,11.0,9.0,-0.008623512066003045,0.06474811771633314,5
7,1,1,7,40,html-slider-response,40,204899,6000.0,36.0,0.1,question_agency,question_agency_line_inverted,26.0,7.0,7.0,7.0,8.0,0.47562434301051826,-0.0655368253141014,1
8,1,1,8,83,html-slider-response,83,393152,3867.0,4.0,0.1,question_agency,question_agency_line_inverted,-6.0,5.0,4.0,5.0,8.0,0.27055768303174504,-0.3015135539854713,2
5,1,1,5,102,html-slider-response,102,479340,3968.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,8.0,6.0,0.0,0.0,0.0,0.0,3
9,1,1,9,133,html-slider-response,133,616728,4399.0,54.0,0.1,question_agency,question_agency_line_inverted,44.0,9.0,9.0,11.0,6.0,-0.42339860816988334,0.4039769687913741,4
6,1,1,6,164,html-slider-response,164,769220,4288.0,5.0,0.1,question_agency,question_agency_line_inverted,-5.0,5.0,6.0,8.0,6.0,-0.24872543783622864,-0.4968584929267385,5
12,1,1,12,31,html-slider-response,31,165529,4427.0,43.0,0.2,question_agency,question_agency_line_inverted,23.0,8.0,7.0,8.0,4.0,0.22031279712770585,-0.5528560050938792,1
11,1,1,11,77,html-slider-response,77,366512,4358.0,17.0,0.2,question_agency,question_agency_line_inverted,-3.0,9.0,3.0,8.0,9.0,0.008683651694299296,-0.09172710410594584,2
10,1,1,10,111,html-slider-response,111,520070,4144.0,0.0,0.2,question_agency,question_agency_line_inverted,-20.0,5.0,4.0,0.0,0.0,0.0,0.0,3
14,1,1,14,148,html-slider-response,148,696895,6173.0,47.0,0.2,question_agency,question_agency_line_inverted,27.0,7.0,5.0,4.0,12.0,0.49248797494906815,-0.0452936789088371,4
13,1,1,13,182,html-slider-response,182,860652,4094.0,43.0,0.2,question_agency,question_agency_line_inverted,23.0,4.0,5.0,6.0,3.0,0.38138376709130295,-0.5823206948094477,5
18,1,1,18,28,html-slider-response,28,152093,4743.0,40.0,0.3,question_agency,question_agency_line_inverted,10.0,5.0,6.0,12.0,6.0,-0.03029356185436277,0.0006506528448866928,1
19,1,1,19,56,html-slider-response,56,273049,4888.0,29.0,0.3,question_agency,question_agency_line_inverted,-1.0,8.0,7.0,7.0,6.0,0.4130013069872661,-0.027193921190661573,2
15,1,1,15,90,html-slider-response,90,424550,6055.0,12.0,0.3,question_agency,question_agency_line_inverted,-18.0,5.0,9.0,6.0,5.0,-0.20856415950076423,-0.11211882035469993,3
16,1,1,16,145,html-slider-response,145,681701,5641.0,50.0,0.3,question_agency,question_agency_line_inverted,20.0,5.0,5.0,6.0,6.0,-0.06409861969388767,-0.30393972443982975,4
17,1,1,17,188,html-slider-response,188,889225,5809.0,0.0,0.3,question_agency,question_agency_line_inverted,-30.0,4.0,7.0,6.0,4.0,0.13592619753555746,0.4875030668267532,5
22,1,1,22,34,html-slider-response,34,177898,3357.0,58.0,0.4,question_agency,question_agency_line_inverted,18.0,10.0,6.0,11.0,6.0,0.0032468218336363895,0.2616090517783458,1
20,1,1,20,71,html-slider-response,71,340260,4788.0,34.0,0.4,question_agency,question_agency_line_inverted,-6.0,8.0,8.0,7.0,7.0,0.24099602017116015,0.17040595649096893,2
23,1,1,23,93,html-slider-response,93,439396,5817.0,13.0,0.4,question_agency,question_agency_line_inverted,-27.0,7.0,7.0,5.0,7.0,-0.20388523999441768,0.012602712430604564,3
24,1,1,24,124,html-slider-response,124,574228,3500.0,1.0,0.4,question_agency,question_agency_line_inverted,-39.0,4.0,7.0,0.0,0.0,0.0,0.0,4
21,1,1,21,179,html-slider-response,179,847538,4417.0,45.0,0.4,question_agency,question_agency_line_inverted,5.0,9.0,7.0,7.0,6.0,-0.3579491740160018,0.1495121562135668,5
25,1,1,25,25,html-slider-response,25,138333,2944.0,74.0,0.5,question_agency,question_agency_line_inverted,24.0,6.0,8.0,11.0,9.0,0.4426177870198393,0.03523148288539273,1
29,1,1,29,68,html-slider-response,68,326456,4051.0,36.0,0.5,question_agency,question_agency_line_inverted,-14.0,7.0,5.0,7.0,6.0,0.14506551042132587,-0.02506409010521792,2
28,1,1,28,105,html-slider-response,105,492302,3945.0,0.0,0.5,question_agency,question_agency_line_inverted,-50.0,9.0,5.0,0.0,0.0,0.0,0.0,3
27,1,1,27,139,html-slider-response,139,645492,6085.0,52.0,0.5,question_agency,question_agency_line_inverted,2.0,7.0,6.0,6.0,4.0,0.6113783588829375,-0.026704930330894924,4
26,1,1,26,161,html-slider-response,161,755902,5451.0,36.0,0.5,question_agency,question_agency_line_inverted,-14.0,6.0,6.0,10.0,6.0,-0.2281771699891121,-0.07013722859590622,5
30,1,1,30,52,html-slider-response,52,255803,2561.0,86.0,0.6,question_agency,question_agency_line_inverted,26.0,6.0,7.0,8.0,4.0,0.2825592384599306,0.23355725950866357,1
33,1,1,33,74,html-slider-response,74,353137,3865.0,67.0,0.6,question_agency,question_agency_line_inverted,7.0,7.0,5.0,5.0,8.0,-0.0660639604850392,-0.2576928427657555,2
34,1,1,34,108,html-slider-response,108,506906,5588.0,4.0,0.6,question_agency,question_agency_line_inverted,-56.0,7.0,6.0,0.0,0.0,0.0,0.0,3
32,1,1,32,151,html-slider-response,151,711912,5988.0,50.0,0.6,question_agency,question_agency_line_inverted,-10.0,7.0,7.0,7.0,4.0,0.10501303268362136,0.021415176400488248,4
31,1,1,31,173,html-slider-response,173,816517,7917.0,78.0,0.6,question_agency,question_agency_line_inverted,18.0,6.0,4.0,7.0,5.0,0.37175294663377917,-0.2510533010554328,5
38,1,1,38,43,html-slider-response,43,217718,3805.0,94.0,0.7,question_agency,question_agency_line_inverted,24.0,5.0,5.0,9.0,8.0,-0.14433679096177207,0.059839995341832874,1
36,1,1,36,86,html-slider-response,86,407996,5819.0,84.0,0.7,question_agency,question_agency_line_inverted,14.0,6.0,8.0,16.0,4.0,0.15789705101555981,-0.18816249380762204,2
37,1,1,37,96,html-slider-response,96,452897,4488.0,58.0,0.7,question_agency,question_agency_line_inverted,-12.0,7.0,9.0,8.0,6.0,-0.11122839827535755,-0.06444565029783388,3
39,1,1,39,136,html-slider-response,136,630389,4644.0,58.0,0.7,question_agency,question_agency_line_inverted,-12.0,7.0,5.0,8.0,6.0,0.3987856952570051,-0.10008339528003889,4
35,1,1,35,185,html-slider-response,185,874396,4728.0,58.0,0.7,question_agency,question_agency_line_inverted,-12.0,6.0,5.0,5.0,3.0,0.0002554008736430224,0.37405314687559627,5
40,1,1,40,37,html-slider-response,37,189887,2973.0,95.0,0.8,question_agency,question_agency_line_inverted,15.0,5.0,7.0,5.0,3.0,0.1485104110629948,-0.254456189111063,1
42,1,1,42,59,html-slider-response,59,286197,4123.0,88.0,0.8,question_agency,question_agency_line_inverted,8.0,6.0,8.0,13.0,10.0,0.36260559255824565,0.3385243865720332,2
44,1,1,44,114,html-slider-response,114,533128,4042.0,0.0,0.8,question_agency,question_agency_line_inverted,-80.0,5.0,5.0,0.0,0.0,0.0,0.0,3
41,1,1,41,127,html-slider-response,127,587825,4580.0,0.0,0.8,question_agency,question_agency_line_inverted,-80.0,6.0,6.0,0.0,0.0,0.0,0.0,4
43,1,1,43,176,html-slider-response,176,834101,8556.0,47.0,0.8,question_agency,question_agency_line_inverted,-33.0,6.0,4.0,3.0,4.0,0.08993895770684689,-0.15391333214093342,5
49,1,1,49,49,html-slider-response,49,244219,4640.0,93.0,0.9,question_agency,question_agency_line_inverted,3.0,9.0,7.0,6.0,7.0,-0.4344479606940516,0.1621186696275395,1
48,1,1,48,80,html-slider-response,80,380268,4740.0,95.0,0.9,question_agency,question_agency_line_inverted,5.0,5.0,5.0,9.0,4.0,-0.09758545549813122,-0.18472203390640607,2
47,1,1,47,120,html-slider-response,120,559419,3637.0,2.0,0.9,question_agency,question_agency_line_inverted,-88.0,7.0,9.0,0.0,0.0,0.0,0.0,3
45,1,1,45,130,html-slider-response,130,603293,6445.0,97.0,0.9,question_agency,question_agency_line_inverted,7.0,6.0,6.0,7.0,5.0,0.3643633386145986,0.08959438189666159,4
46,1,1,46,170,html-slider-response,170,799577,5694.0,86.0,0.9,question_agency,question_agency_line_inverted,-4.0,7.0,5.0,6.0,6.0,0.19944365832303518,-0.2589108100712928,5
51,1,1,51,46,html-slider-response,46,230558,3828.0,100.0,1.0,question_agency,question_agency_line_inverted,0.0,7.0,6.0,9.0,7.0,0.18850404267179616,0.23144823059491088,1
53,1,1,53,65,html-slider-response,65,313391,4735.0,100.0,1.0,question_agency,question_agency_line_inverted,0.0,5.0,8.0,7.0,6.0,-0.17230341788038703,-0.40202294163031704,2
54,1,1,54,99,html-slider-response,99,466331,4420.0,0.0,1.0,question_agency,question_agency_line_inverted,-100.0,6.0,8.0,0.0,0.0,0.0,0.0,3
50,1,1,50,142,html-slider-response,142,667036,12528.0,91.0,1.0,question_agency,question_agency_line_inverted,-9.0,6.0,9.0,7.0,4.0,0.06350125995427719,0.0022072324981699766,4
52,1,1,52,158,html-slider-response,158,741423,4273.0,100.0,1.0,question_agency,question_agency_line_inverted,0.0,9.0,6.0,6.0,5.0,0.031127593220055774,0.1426521059598861,5
0,2,1,0,25,html-slider-response,25,142867,4220.0,17.0,0.0,question_agency,question_agency_line_inverted,17.0,10.0,8.0,8.0,18.0,-0.2021903250267891,-0.1602335002674676,1
1,2,1,1,77,html-slider-response,77,643865,3851.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,6.0,4.0,9.0,15.0,0.1303703833585643,-0.22821372717344893,2
4,2,1,4,99,html-slider-response,99,826344,3053.0,17.0,0.0,question_agency,question_agency_line_inverted,17.0,8.0,6.0,12.0,13.0,-0.33809001055273685,0.014781391077855284,3
3,2,1,3,139,html-slider-response,139,1077539,4207.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,8.0,9.0,5.0,8.0,0.26471746172044014,-0.08865457920808167,4
2,2,1,2,158,html-slider-response,158,1266679,5897.0,4.0,0.0,question_agency,question_agency_line_inverted,4.0,5.0,4.0,15.0,8.0,0.014399789788343432,-0.19350393754057696,5
6,2,1,6,31,html-slider-response,31,171845,4894.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,6.0,8.0,4.0,25.0,-0.2663816916664113,-0.3254255428804343,1
9,2,1,9,71,html-slider-response,71,617343,61808.0,4.0,0.1,question_agency,question_agency_line_inverted,-6.0,8.0,5.0,19.0,6.0,0.1841651611188618,-0.07742680341506515,2
7,2,1,7,90,html-slider-response,90,786503,4000.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,6.0,9.0,2.0,1.0,0.2281914420343577,0.39906806601631056,3
5,2,1,5,142,html-slider-response,142,1090907,4361.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,6.0,6.0,6.0,0.0,0.48383429806362815,0.0,4
8,2,1,8,170,html-slider-response,170,1324052,9841.0,67.0,0.1,question_agency,question_agency_line_inverted,57.0,8.0,7.0,10.0,11.0,0.23002418753752218,0.2532259012607965,5
13,2,1,13,52,html-slider-response,52,270979,6661.0,84.0,0.2,question_agency,question_agency_line_inverted,64.0,8.0,9.0,13.0,8.0,-0.0013034723901355076,0.06015491355103527,1
14,2,1,14,68,html-slider-response,68,546516,7772.0,4.0,0.2,question_agency,question_agency_line_inverted,-16.0,7.0,8.0,4.0,19.0,-0.16032085056026157,0.13620878674425493,2
10,2,1,10,117,html-slider-response,117,909497,6731.0,4.0,0.2,question_agency,question_agency_line_inverted,-16.0,10.0,10.0,0.0,8.0,0.0,0.022852849618681653,3
