,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,scale,scale_2,difference,difference_2,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
0,1,1,0,28,html-slider-response,28,446597,3302.0,0.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,6.0,8.0,27.0,24.0,0.018079882903453106,-0.07858221687126589,1
5,1,1,5,65,html-slider-response,65,594367,3346.0,0.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,9.0,5.0,22.0,16.0,-0.11197239819028271,-0.2979354561925376,2
4,1,1,4,93,html-slider-response,93,707077,3553.0,0.0,0.0,question_agency,question_agency_line_inverted,1.0,0.0,0.0,0.0,10.0,5.0,44.0,32.0,-0.0067200149861352315,0.007306057079102406,3
3,1,1,3,146,html-slider-response,146,931237,3965.0,0.0,0.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,9.0,8.0,41.0,26.0,-0.07377708573474691,0.049784675691087694,4
2,1,1,2,165,html-slider-response,165,1011694,4647.0,0.0,0.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,4.0,5.0,4.0,17.0,-0.0069914581604107765,-0.2851248550111685,5
1,1,1,1,193,html-slider-response,193,1134106,4149.0,0.0,0.0,question_agency,question_agency_line,0.0,0.0,0.0,0.0,4.0,8.0,6.0,4.0,0.27672473069203035,-0.37033956637430854,1
8,1,1,8,40,html-slider-response,40,495605,4289.0,0.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-10.0,0.0,7.0,7.0,16.0,14.0,-0.2093022006973181,0.0012203367508338712,2
11,1,1,11,74,html-slider-response,74,630687,3365.0,3.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-7.0,0.0,8.0,10.0,10.0,3.0,0.25290280907397944,0.1144167800503836,3
10,1,1,10,96,html-slider-response,96,721846,5737.0,0.0,0.1,question_agency,question_agency_line_inverted,1.0,0.0,-10.0,0.0,7.0,7.0,13.0,16.0,0.13490444056052264,-0.3501224680880338,4
9,1,1,9,134,html-slider-response,134,878985,3038.0,0.0,0.1,question_agency,question_agency_line,0.0,0.0,-10.0,0.0,5.0,10.0,37.0,24.0,-0.31762276358473507,-0.10851140206773724,5
7,1,1,7,177,html-slider-response,177,1066624,3038.0,0.0,0.1,question_agency,question_agency_line,0.0,0.0,-10.0,0.0,8.0,6.0,4.0,4.0,0.14119156084806714,-0.1466809934231965,1
6,1,1,6,205,html-slider-response,205,1187190,4168.0,4.0,0.1,question_agency,question_agency_line,0.0,0.0,-6.0,0.0,5.0,8.0,8.0,7.0,0.4978900185052451,0.15555145461989087,2
17,1,1,17,43,html-slider-response,43,507636,3010.0,3.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,-17.0,0.0,8.0,7.0,24.0,16.0,-0.07408842502860494,0.2593572431232633,3
15,1,1,15,80,html-slider-response,80,654264,2797.0,3.0,0.2,question_agency,question_agency_line_inverted,1.0,0.0,-17.0,0.0,8.0,7.0,17.0,31.0,0.12099264631831105,-0.09794953953922943,4
