,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
3,1,1,3,49,survey-likert,49,251336,2473.0,16.666666666666668,0.0,question_agency,question_agency_7_Lickert,16.666666666666668,5.0,9.0,2.0,4.0,-0.04977022643660146,0.40689037129774414,1
2,1,1,2,77,survey-likert,77,368394,3542.0,0.0,0.0,question_agency,question_agency_7_Lickert,0.0,4.0,7.0,5.0,4.0,0.2435514299742346,0.463198971979474,2
1,1,1,1,90,survey-likert,90,418992,2855.0,0.0,0.0,question_agency,question_agency_7_Lickert,0.0,6.0,6.0,5.0,4.0,0.05117301493938158,0.14482545524342072,3
0,1,1,0,130,survey-likert,130,582143,3258.0,33.333333333333336,0.0,question_agency,question_agency_7_Lickert,33.333333333333336,7.0,4.0,0.0,0.0,0.0,0.0,4
4,1,1,4,158,survey-likert,158,698719,3534.0,0.0,0.0,question_agency,question_agency_7_Lickert,0.0,8.0,8.0,6.0,3.0,0.2756968475877932,-0.2866238476283003,5
8,1,1,8,46,survey-likert,46,239849,2956.0,16.666666666666668,0.1,question_agency,question_agency_7_Lickert,6.666666666666668,8.0,5.0,3.0,4.0,0.14673457952449048,0.37188933489259507,1
9,1,1,9,56,survey-likert,56,278978,4122.0,16.666666666666668,0.1,question_agency,question_agency_7_Lickert,6.666666666666668,6.0,10.0,5.0,2.0,0.033464273470644075,0.5477241411985808,2
5,1,1,5,117,survey-likert,117,529099,2868.0,0.0,0.1,question_agency,question_agency_7_Lickert,0.0,7.0,8.0,5.0,3.0,-0.40867525217476136,0.24349605470744415,3
6,1,1,6,133,survey-likert,133,593831,2664.0,0.0,0.1,question_agency,question_agency_7_Lickert,-10.0,7.0,6.0,6.0,4.0,0.02839999609692412,0.21880775004911238,4
7,1,1,7,173,survey-likert,173,756533,2221.0,0.0,0.1,question_agency,question_agency_7_Lickert,-10.0,7.0,8.0,3.0,5.0,-0.22361294314142616,0.009179704601503646,5
13,1,1,13,25,survey-likert,25,155561,5069.0,16.666666666666668,0.2,question_agency,question_agency_7_Lickert,-3.333333333333332,10.0,7.0,2.0,1.0,-0.30792609447115205,0.27577912237950625,1
11,1,1,11,74,survey-likert,74,355837,2139.0,16.666666666666668,0.2,question_agency,question_agency_7_Lickert,-3.333333333333332,6.0,5.0,8.0,6.0,0.016943489363924067,0.2689570055645709,2
