,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Confidence,Confidence_RT,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
3,1,1,3,37,survey-likert,37,899425,2905.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,0,2199.0,6.0,8.0,10.0,29.0,0.32465817732653873,-0.11085270319680517,1
2,1,1,2,97,survey-likert,97,1108497,2248.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,0,1803.0,8.0,7.0,10.0,10.0,0.28021661919089935,0.17683459444712699,2
1,1,1,1,149,survey-likert,149,1287521,1375.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,1,2365.0,6.0,6.0,19.0,26.0,0.08517286309117023,0.2249783900882939,3
4,1,1,4,161,survey-likert,161,1329067,3359.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,16,2568.0,7.0,6.0,12.0,12.0,0.123355923571818,-0.3482522559370511,4
0,1,1,0,237,survey-likert,237,1590725,2834.0,0.0,0.0,question_agency,question_agency_2_Lickert,0.0,14,3403.0,9.0,3.0,14.0,48.0,-0.17208342676889185,0.03790844755999869,5
6,1,1,6,33,survey-likert,33,884895,2655.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,0,2614.0,7.0,9.0,6.0,14.0,0.3565010049182987,-0.10715817502051755,1
5,1,1,5,101,survey-likert,101,1121327,2020.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,4,2234.0,6.0,8.0,17.0,16.0,0.1305820022102985,0.08053195250008625,2
8,1,1,8,133,survey-likert,133,1235930,2760.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,1,1705.0,9.0,5.0,19.0,15.0,0.05027696266491359,-0.1305495989346508,3
9,1,1,9,181,survey-likert,181,1395202,2049.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,4,2002.0,7.0,7.0,27.0,18.0,-0.24962567413114778,0.01339331344571427,4
7,1,1,7,225,survey-likert,225,1542634,1780.0,0.0,0.1,question_agency,question_agency_2_Lickert,-10.0,4,3374.0,6.0,8.0,18.0,18.0,0.21032819601895328,-0.3420130662538657,5
10,1,1,10,41,survey-likert,41,912899,2265.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,0,1828.0,6.0,6.0,6.0,13.0,0.3434890135365025,-0.1657281500523087,1
14,1,1,14,65,survey-likert,65,997344,1847.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,3,2850.0,6.0,7.0,7.0,11.0,0.24034956732219315,-0.30213600265362933,2
11,1,1,11,113,survey-likert,113,1164703,3240.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,31,3891.0,7.0,8.0,16.0,8.0,0.3651323886245946,0.4937995326403747,3
12,1,1,12,169,survey-likert,169,1355797,2764.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,3,1952.0,11.0,9.0,10.0,31.0,0.10417768422159661,-0.19106731560678733,4
13,1,1,13,229,survey-likert,229,1557658,2638.0,0.0,0.2,question_agency,question_agency_2_Lickert,-20.0,7,2290.0,9.0,8.0,26.0,26.0,-0.3271361122157985,-0.040285501316479226,5
17,1,1,17,25,survey-likert,25,857327,3077.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,0,2473.0,8.0,8.0,7.0,9.0,-0.11918384521078039,-0.21550773668378684,1
19,1,1,19,77,survey-likert,77,1038861,1953.0,0.0,0.3,question_agency,question_agency_2_Lickert,-30.0,4,1946.0,7.0,8.0,15.0,16.0,-0.0006380946663216077,-0.16375777106618797,2
